session_id,turn,query,expected_action,expected_status,expected_symptom,expected_escalated
post_recharge_01,1,这台机器总找不到底座,give_step,waiting_feedback,cannot_recharge,0
post_recharge_01,2,把周围整理过了还是没能回去,give_step,waiting_feedback,cannot_recharge,0
post_recharge_01,3,后来它自己找到充电位置了,resolve,resolved,cannot_recharge,0
post_recharge_02,1,设备回座充电总失败,give_step,waiting_feedback,cannot_recharge,0
post_recharge_02,2,擦过感应部件后还是原样,give_step,waiting_feedback,cannot_recharge,0
post_recharge_02,3,换了插座也没有起色,escalate,escalated,cannot_recharge,1
post_noise_01,1,扫地时会传出尖锐摩擦声,give_step,waiting_feedback,abnormal_noise,0
post_noise_01,2,把刷子清理一遍后声音听不到了,resolve,resolved,abnormal_noise,0
post_noise_02,1,工作声忽然变得很刺耳,give_step,waiting_feedback,abnormal_noise,0
post_noise_02,2,清理轮组后依旧有动静,give_step,waiting_feedback,abnormal_noise,0
post_noise_02,3,换了尘盒还是没有改善,escalate,escalated,abnormal_noise,1
post_spin_01,1,机器走几步就开始打转,give_step,waiting_feedback,spinning_in_place,0
post_spin_01,2,驱动轮处理过后终于能走直了,resolve,resolved,spinning_in_place,0
post_spin_02,1,它在地面上来回绕圈,give_step,waiting_feedback,spinning_in_place,0
post_spin_02,2,擦完底部以后还是绕圈,give_step,waiting_feedback,spinning_in_place,0
post_spin_02,3,换到平地也没有变化,escalate,escalated,spinning_in_place,1
post_leak_01,1,水箱边缘不断往外渗水,give_step,waiting_feedback,water_leak,0
post_leak_01,2,重新拧紧盖子后地板保持干燥了,resolve,resolved,water_leak,0
post_leak_02,1,停机后水还在一点点往下滴,give_step,waiting_feedback,water_leak,0
post_leak_02,2,检查密封位置后漏水依然存在,give_step,waiting_feedback,water_leak,0
post_leak_02,3,出水管也处理过仍然如此,escalate,escalated,water_leak,1
post_mop_01,1,拖地时拖布始终没有湿,give_step,waiting_feedback,no_water,0
post_mop_01,2,水箱重新卡好后已经能带水拖了,resolve,resolved,no_water,0
post_mop_02,1,地面没有留下任何水痕,give_step,waiting_feedback,no_water,0
post_mop_02,2,出口清过一次但还是干的,give_step,waiting_feedback,no_water,0
post_mop_02,3,调整设置之后问题仍旧,escalate,escalated,no_water,1
post_wifi_01,1,手机里看设备状态一直断开,give_step,waiting_feedback,wifi_offline,0
post_wifi_01,2,重新输入网络信息后显示已连接,resolve,resolved,wifi_offline,0
post_wifi_02,1,机器人始终加不进家庭网络,give_step,waiting_feedback,wifi_offline,0
post_wifi_02,2,换到路由器旁边也没有反应,give_step,waiting_feedback,wifi_offline,0
post_wifi_02,3,重新绑定仍然失败,escalate,escalated,wifi_offline,1
post_suction_01,1,最近吸尘像是使不上力,give_step,waiting_feedback,low_suction,0
post_suction_01,2,倒掉尘盒后灰尘还是吸不进去,give_step,waiting_feedback,low_suction,0
post_suction_01,3,风道也清过了效果没回来,escalate,escalated,low_suction,1
post_brush_01,1,主刷卡住同时出现 E01,give_step,waiting_feedback,main_brush_jam,0
post_brush_01,2,拆开清理后已经可以转动了,resolve,resolved,main_brush_jam,0
post_ambiguous_01,1,今天设备状态有些反常,ask_symptom,collecting,,0
post_ambiguous_01,2,具体表现是走路时声音忽高忽低,give_step,waiting_feedback,abnormal_noise,0
post_ambiguous_01,3,重新清洁后运行稳定了,resolve,resolved,abnormal_noise,0
post_ambiguous_02,1,型号 K9,give_step,waiting_feedback,,0
post_ambiguous_02,2,它好像总是连不上家里的网,give_step,waiting_feedback,wifi_offline,0
post_ambiguous_02,3,输入密码后终于在线了,resolve,resolved,wifi_offline,0
post_exhaust_01,1,机器回座总失败,give_step,waiting_feedback,cannot_recharge,0
post_exhaust_01,2,清障之后故障依旧,give_step,waiting_feedback,cannot_recharge,0
post_exhaust_01,3,感应器擦过了也没变化,give_step,waiting_feedback,cannot_recharge,0
post_exhaust_01,4,确认电源正常仍然回不去,escalate,escalated,cannot_recharge,1
post_exhaust_02,1,清扫过程中会有吱吱的声音,give_step,waiting_feedback,abnormal_noise,0
post_exhaust_02,2,刷子弄干净了但噪声未消失,give_step,waiting_feedback,abnormal_noise,0
post_exhaust_02,3,轮子检查过仍旧如此,give_step,waiting_feedback,abnormal_noise,0
post_exhaust_02,4,最后试了尘盒也没解决,escalate,escalated,abnormal_noise,1
post_exhaust_03,1,它拖地一直没有水,give_step,waiting_feedback,no_water,0
post_exhaust_03,2,重新装水箱不见好转,give_step,waiting_feedback,no_water,0
post_exhaust_03,3,出水孔清理完依然干着,give_step,waiting_feedback,no_water,0
post_exhaust_03,4,模式和档位都确认了还是这样,escalate,escalated,no_water,1
post_risk_01,1,机器外壳摸起来有明显麻感像在漏电,escalate,escalated,,1
post_risk_02,1,电池仓看起来已经鼓胀变形,escalate,escalated,,1
post_risk_03,1,设备进水了却还连着电源,escalate,escalated,,1
post_human_01,1,请帮我叫售后过来处理,escalate,escalated,,1
post_human_02,1,我想直接和真人沟通,escalate,escalated,,1
post_human_03,1,能不能让客服人员接手这个问题,escalate,escalated,,1
post_cancel_01,1,机器无法回充,give_step,waiting_feedback,cannot_recharge,0
post_cancel_01,2,今天先不查了,cancel,cancelled,cannot_recharge,0
