session_id,turn,query,expected_action,expected_status,expected_symptom,expected_escalated
accept_recharge_a,1,我家的机器老是回不到充电座,give_step,waiting_feedback,cannot_recharge,0
accept_recharge_a,2,把路上的东西挪开了但问题还在,give_step,waiting_feedback,cannot_recharge,0
accept_recharge_a,3,按第二步处理后依然失败,give_step,waiting_feedback,cannot_recharge,0
accept_recharge_a,4,这次能自己回去了,resolve,resolved,cannot_recharge,0
accept_recharge_b,1,我的设备型号 X300,ask_symptom,collecting,,0
accept_recharge_b,2,它这两天总是回充失败,give_step,waiting_feedback,cannot_recharge,0
accept_recharge_b,3,清洁触点后已经好了,resolve,resolved,cannot_recharge,0
accept_noise_a,1,运行的时候会发出尖锐声,give_step,waiting_feedback,abnormal_noise,0
accept_noise_a,2,清理主刷以后还是有声音,give_step,waiting_feedback,abnormal_noise,0
accept_noise_a,3,现在声音完全消失了,resolve,resolved,abnormal_noise,0
accept_noise_b,1,机器清扫时一直咔咔响,give_step,waiting_feedback,abnormal_noise,0
accept_noise_b,2,缠绕物清掉以后不响了,resolve,resolved,abnormal_noise,0
accept_spin_a,1,一启动就在原地转圈,give_step,waiting_feedback,spinning_in_place,0
accept_spin_a,2,轮子已经清过但还是不行,give_step,waiting_feedback,spinning_in_place,0
accept_spin_a,3,擦完传感器就正常了,resolve,resolved,spinning_in_place,0
accept_spin_b,1,机器人只会原地打转,give_step,waiting_feedback,spinning_in_place,0
accept_spin_b,2,移到平地之后可以了,resolve,resolved,spinning_in_place,0
accept_leak_a,1,水箱装好后地面还是会积水,give_step,waiting_feedback,water_leak,0
accept_leak_a,2,水箱盖拧紧了仍未改善,give_step,waiting_feedback,water_leak,0
accept_leak_a,3,重新装好密封圈后正常了,resolve,resolved,water_leak,0
accept_leak_b,1,机器停下来以后水箱还会滴水,give_step,waiting_feedback,water_leak,0
accept_leak_b,2,换好密封圈以后不再漏了,resolve,resolved,water_leak,0
accept_no_water_a,1,拖地时拖布一直是干的,give_step,waiting_feedback,no_water,0
accept_no_water_a,2,水箱重新装过还是没改善,give_step,waiting_feedback,no_water,0
accept_no_water_a,3,清理出水口以后可以了,resolve,resolved,no_water,0
accept_no_water_b,1,拖地模式下完全没有拖痕,give_step,waiting_feedback,no_water,0
accept_no_water_b,2,调整出水档位后已经好了,resolve,resolved,no_water,0
accept_wifi_a,1,APP 里一直显示设备离线,give_step,waiting_feedback,wifi_offline,0
accept_wifi_a,2,确认了网络频段但问题还在,give_step,waiting_feedback,wifi_offline,0
accept_wifi_a,3,靠近路由器重新绑定后在线了,resolve,resolved,wifi_offline,0
accept_wifi_b,1,型号 R8,ask_symptom,collecting,,0
accept_wifi_b,2,这个机器人怎么都连不上 WiFi,give_step,waiting_feedback,wifi_offline,0
accept_wifi_b,3,重新输入密码以后恢复正常,resolve,resolved,wifi_offline,0
accept_suction_a,1,最近机器吸不动灰了,give_step,waiting_feedback,low_suction,0
accept_suction_a,2,尘盒清空后依然没有改善,give_step,waiting_feedback,low_suction,0
accept_suction_a,3,把风道清干净后已经好了,resolve,resolved,low_suction,0
accept_suction_b,1,清扫完还有很多灰像是吸力变小了,give_step,waiting_feedback,low_suction,0
